RowID,plevel,taxa_level,cols_or_rows,n,nodf,ses
272,'1','Order','cols',583,0.560251856,5.043115451
273,'1','Order','cols',583,0.555757739,4.828717849
274,'1','Order','cols',583,0.623978468,7.338257625
275,'1','Order','cols',583,0.502897518,4.16429291
276,'1','Order','cols',583,0.592847589,7.250896557
277,'1','Order','cols',583,0.479106094,4.448115493
278,'1','Order','cols',583,0.535560251,5.239143987
279,'1','Order','cols',583,0.50634233,4.447001692
280,'1','Order','cols',829,0.586907406,5.861689681
281,'1','Order','cols',829,0.548854684,5.401124922
282,'1','Order','cols',829,0.5905028,6.486742432
283,'1','Order','cols',829,0.605263564,6.595952574
284,'1','Order','cols',829,0.589141479,5.21375961
285,'1','Order','cols',829,0.563724143,5.937643698
286,'1','Order','cols',829,0.568226565,6.30395551
287,'1','Order','cols',829,0.587130511,5.964641641
288,'1','Order','cols',829,0.579477266,5.690254951
289,'1','Order','cols',829,0.525232663,5.176620287
290,'1','Order','cols',1177,0.515434695,4.803137831
291,'1','Order','cols',1177,0.585499493,6.062856782
292,'1','Order','cols',1177,0.582640115,6.112687403
293,'1','Order','cols',1177,0.518963373,4.478967232
294,'1','Order','cols',1177,0.518910421,5.038606718
295,'1','Order','cols',1177,0.545217778,5.029430096
296,'1','Order','cols',1177,0.601923425,7.211132211
297,'1','Order','cols',1177,0.627096367,6.583753014
298,'1','Order','cols',1177,0.564645769,5.559052106
299,'1','Order','cols',1177,0.605174917,6.444242596
300,'1','Family','cols',49,0.377805126,6.030300482
301,'1','Family','cols',49,0.413149517,6.277094368
302,'1','Family','cols',49,0.399807723,5.86828825
303,'1','Family','cols',49,0.429590351,6.211473734
304,'1','Family','cols',49,0.376107184,6.062680274
305,'1','Family','cols',49,0.431843734,6.009653499
306,'1','Family','cols',49,0.385555423,6.473038611
307,'1','Family','cols',49,0.358062018,6.072783123
308,'1','Family','cols',49,0.37347822,5.465950464
309,'1','Family','cols',49,0.361955923,4.715422553
310,'1','Family','cols',71,0.373426054,3.984919618
311,'1','Family','cols',71,0.446628109,6.204823253
312,'1','Family','cols',71,0.404229287,6.716478036
313,'1','Family','cols',71,0.4169578,5.917720342
314,'1','Family','cols',71,0.354062626,4.45394234
315,'1','Family','cols',71,0.43329006,4.142656003
316,'1','Family','cols',71,0.404465191,4.784036951
317,'1','Family','cols',71,0.439335835,5.213171409
318,'1','Family','cols',71,0.384397855,4.390751939
319,'1','Family','cols',71,0.303158282,4.151793245
320,'1','Family','cols',100,0.414822873,5.364504579
321,'1','Family','cols',100,0.404141908,6.366381167
322,'1','Family','cols',100,0.404362548,5.63941988
323,'1','Family','cols',100,0.387267248,5.547489965
324,'1','Family','cols',100,0.416276743,5.579467618
325,'1','Family','cols',100,0.397228331,5.534049337
326,'1','Family','cols',100,0.389424627,5.461503692
327,'1','Family','cols',100,0.378871783,4.910381935
328,'1','Family','cols',100,0.414173727,5.359227948
329,'1','Family','cols',100,0.411751483,4.742836205
330,'1','Family','cols',143,0.41172082,5.791304008
331,'1','Family','cols',143,0.420619587,5.943223207
332,'1','Family','cols',143,0.336364224,5.092805383
333,'1','Family','cols',143,0.385832589,4.59751062
334,'1','Family','cols',143,0.379232328,5.090582287
335,'1','Family','cols',143,0.358908873,4.824299611
336,'1','Family','cols',143,0.39497549,5.747873378
337,'1','Family','cols',143,0.392669108,5.228417718
338,'1','Family','cols',143,0.38971605,5.469777245
339,'1','Family','cols',143,0.387420246,5.806911027
340,'1','Family','cols',203,0.408542169,5.138880853
341,'1','Family','cols',203,0.441148549,6.933127117
342,'1','Family','cols',203,0.417897524,5.321001796
343,'1','Family','cols',203,0.406309802,5.620212099
344,'1','Family','cols',203,0.380058929,4.488866645
345,'1','Family','cols',203,0.378645574,4.8614482
346,'1','Family','cols',203,0.384914633,5.208798611
347,'1','Family','cols',203,0.358085946,4.117734629
348,'1','Family','cols',203,0.371781647,4.524229039
349,'1','Family','cols',203,0.436988631,5.779113149
350,'1','Family','cols',289,0.433188266,6.00113144
351,'1','Family','cols',289,0.400368216,6.368443385
352,'1','Family','cols',289,0.387009864,4.131688104
353,'1','Family','cols',289,0.38939224,5.366606216
354,'1','Family','cols',289,0.412505727,5.519012613
355,'1','Family','cols',289,0.406668035,5.757750598
356,'1','Family','cols',289,0.396705138,6.037106001
357,'1','Family','cols',289,0.397867866,4.915868169
358,'1','Family','cols',289,0.395919843,5.467022612
359,'1','Family','cols',289,0.401533423,5.650589934
360,'1','Family','cols',410,0.420440369,6.310807918
361,'1','Family','cols',410,0.364455825,5.200566907
362,'1','Family','cols',410,0.473690482,7.233991891
363,'1','Family','cols',410,0.372818365,4.451794567
364,'1','Family','cols',410,0.394943017,5.549409256
365,'1','Family','cols',410,0.457650133,7.323444327
366,'1','Family','cols',410,0.351148715,4.414593449
367,'1','Family','cols',410,0.432386463,6.181346959
368,'1','Family','cols',410,0.422584891,5.925826812
369,'1','Family','cols',410,0.403683258,5.550938803
370,'1','Family','cols',583,0.403634923,5.405320062
371,'1','Family','cols',583,0.392794683,5.54480321
372,'1','Family','cols',583,0.438662197,7.527934939
373,'1','Family','cols',583,0.383321581,4.737436881
374,'1','Family','cols',583,0.427111613,6.75956797
375,'1','Family','cols',583,0.433979308,6.444037287
376,'1','Family','cols',583,0.425730978,5.528308901
377,'1','Family','cols',583,0.408497002,5.701662292
378,'1','Family','cols',583,0.390237438,5.592877568
379,'1','Family','cols',583,0.452167437,6.833328707
380,'1','Family','cols',829,0.410111094,5.526942123
381,'1','Family','cols',829,0.397345545,4.814397617
382,'1','Family','cols',829,0.406562386,5.224138542
383,'1','Family','cols',829,0.37604009,5.371388177
384,'1','Family','cols',829,0.41344484,5.13054995
385,'1','Family','cols',829,0.427863557,5.705506002
386,'1','Family','cols',829,0.41119498,5.899792016
387,'1','Family','cols',829,0.428846546,6.106079081
388,'1','Family','cols',829,0.364917865,4.632139019
389,'1','Family','cols',829,0.441253283,7.235963995
390,'1','Family','cols',1177,0.401670291,5.969649444
391,'1','Family','cols',1177,0.416997331,7.104756471
392,'1','Family','cols',1177,0.422499122,4.972394932
393,'1','Family','cols',1177,0.457808345,6.051086131
394,'1','Family','cols',1177,0.417495603,5.548442756
395,'1','Family','cols',1177,0.373608141,4.66337742
396,'1','Family','cols',1177,0.425211193,6.165245896
397,'1','Family','cols',1177,0.371066397,4.486000604
398,'1','Family','cols',1177,0.410616689,5.324723935
399,'1','Family','cols',1177,0.417942974,5.469191236
400,'1','Genus','cols',49,0.211564093,6.220526489
401,'1','Genus','cols',49,0.232188583,3.984189801
402,'1','Genus','cols',49,0.246648546,6.408540585
403,'1','Genus','cols',49,0.21854069,5.894080579
404,'1','Genus','cols',49,0.21596376,6.579364424
405,'1','Genus','cols',49,0.222953909,6.373080093
406,'1','Genus','cols',49,0.225557132,5.186189836
407,'1','Genus','cols',49,0.25161994,6.427514855
408,'1','Genus','cols',49,0.183800777,5.180855344
409,'1','Genus','cols',49,0.254244153,6.052431746
410,'1','Genus','cols',71,0.214634039,4.421373508
411,'1','Genus','cols',71,0.220989084,4.508070225
412,'1','Genus','cols',71,0.172557694,3.148894566
413,'1','Genus','cols',71,0.240391537,4.775161281
414,'1','Genus','cols',71,0.195154267,3.8329011
415,'1','Genus','cols',71,0.217293538,4.532373953
416,'1','Genus','cols',71,0.192158857,3.979464144
417,'1','Genus','cols',71,0.194226145,3.308479935
418,'1','Genus','cols',71,0.233042372,4.840348083
419,'1','Genus','cols',71,0.22543815,6.397593974
420,'1','Genus','cols',100,0.191788109,3.330768669
421,'1','Genus','cols',100,0.186611816,4.545720944
422,'1','Genus','cols',100,0.239101704,5.587291879
423,'1','Genus','cols',100,0.273166313,6.611228231
424,'1','Genus','cols',100,0.242911867,4.83244858
425,'1','Genus','cols',100,0.183537839,4.352877549
426,'1','Genus','cols',100,0.221605913,4.773793433
427,'1','Genus','cols',100,0.197083413,4.642142691
428,'1','Genus','cols',100,0.199550412,4.246112316
429,'1','Genus','cols',100,0.201948392,3.768332292
430,'1','Genus','cols',143,0.229378717,4.39735685
431,'1','Genus','cols',143,0.2092096,5.290740249
432,'1','Genus','cols',143,0.214960436,4.251321688
433,'1','Genus','cols',143,0.20560957,4.210358546
434,'1','Genus','cols',143,0.2473097,6.090309183
435,'1','Genus','cols',143,0.188109199,4.120540451
436,'1','Genus','cols',143,0.224185487,4.937808216
437,'1','Genus','cols',143,0.21918181,4.513522437
438,'1','Genus','cols',143,0.172626031,3.041431538
439,'1','Genus','cols',143,0.185574555,4.230905661
440,'1','Genus','cols',203,0.190288753,4.095409119
441,'1','Genus','cols',203,0.217537886,5.875925494
442,'1','Genus','cols',203,0.232887038,5.175514809
443,'1','Genus','cols',203,0.189916001,3.621279331
444,'1','Genus','cols',203,0.272621624,7.82033783
445,'1','Genus','cols',203,0.22827634,5.005833908
446,'1','Genus','cols',203,0.216289274,5.200215427
447,'1','Genus','cols',203,0.225716764,4.889913454
448,'1','Genus','cols',203,0.215454194,3.971449359
449,'1','Genus','cols',203,0.213363267,5.173586162
450,'1','Genus','cols',289,0.210832355,4.369003194
451,'1','Genus','cols',289,0.191020118,3.868710127
452,'1','Genus','cols',289,0.253115596,7.011416068
453,'1','Genus','cols',289,0.245789691,6.107065331
454,'1','Genus','cols',289,0.21784612,4.814149551
455,'1','Genus','cols',289,0.221840503,5.789119261
456,'1','Genus','cols',289,0.208514843,4.424199468
457,'1','Genus','cols',289,0.232660686,6.168845434
458,'1','Genus','cols',289,0.205870369,4.472901238
459,'1','Genus','cols',289,0.225166611,5.075543219
460,'1','Genus','cols',410,0.211376673,4.86505391
461,'1','Genus','cols',410,0.210492594,4.229525478
462,'1','Genus','cols',410,0.197217648,3.54929247
463,'1','Genus','cols',410,0.270787297,7.166424589
464,'1','Genus','cols',410,0.206723196,3.892727142
465,'1','Genus','cols',410,0.244393223,5.141705581
466,'1','Genus','cols',410,0.199378918,4.264984905
467,'1','Genus','cols',410,0.250440205,6.083665858
468,'1','Genus','cols',410,0.262837227,6.111523016
469,'1','Genus','cols',410,0.244664772,6.532164664
470,'1','Genus','cols',583,0.238203303,6.145520451
471,'1','Genus','cols',583,0.241816842,6.040541618
472,'1','Genus','cols',583,0.252738242,5.754251114
473,'1','Genus','cols',583,0.182150696,3.613537095
474,'1','Genus','cols',583,0.213891106,4.590388296
475,'1','Genus','cols',583,0.191452309,3.265323062
476,'1','Genus','cols',583,0.196721976,3.467359179
477,'1','Genus','cols',583,0.264309879,5.962476102
478,'1','Genus','cols',583,0.241492751,6.867753215
479,'1','Genus','cols',583,0.224099021,5.407941045
480,'1','Genus','cols',829,0.222918635,6.030754134
